				Success	Success	Success	Fail	Fail
Quest Title	Description	Success Items	Reward	With Item	Wrong Item	No Item	With Item	No Item
Tilling the Soil	"That's it, need help tilling. Contact if willing."	"Hoe, Shovel"		You're a hard worker. Looks like your tools broke though. Sorry.	"Not sure how you did all that tilling with [item], but I'm grateful."	"You're a hard worker, good with your hands."	Why'd you think you could till a field with [item]? And now it's all dirty and messed up.	This work isn't easy without the right tools. I thought you would have your own. Maybe try helping some other people.
Planting Season	Time got away from me and I need help sowing my fields.	"Hoe, Shovel, Garden Fork, Trowel"		"Looks like you went a bit overboard and broke those tools! Fields are done though, thank you. "	"Not sure how you did all that planting with [item], but I'm grateful."	All that planting by hand! Good on you.	Why'd you think you could plant seeds with [item]? And now it's all dirty and messed up.	Planting isn't easy without the right tools. I thought you would have your own. Maybe try helping some other people.
Starting a Garden	"My back isn't what it used to be, and I could use some help planting in my garden."	"Seeds, Hoe, Shovel, Garden Fork, Trowel"		"Thank you, and so thoughtful to bring [item] for me."	"Thank you for your help! I don't know why you brought [item] with, but thank you for that too."	Thank you for your help!	Oh I suppose you can't use [item] to plant seeds.	Oh it seems this work might be too much for you. Perhaps if you had some tools to help?
Harvest Time	I'm looking for workers to harvest my crops with me.	"Basket, Shears, Bucket"		Good harvest. Glad you brought tools with. 	Good harvest. Weird that you used [item]. I wouldn't have.	Good harvest. Just working with your hands.	You weren't much help out there; maybe because [item] isn't the right tool.	"Not much help out there, maybe if you had some tools of your own."
Too Many Rocks	"I'm expanding my farm, but the new field is full of rocks. Looking for help removing them."	"Shovel, Hoe, Bucket, Basket"		Quite a few rocks. Thank you kindly for your work.	Thank you kindly. Impressive how you used that [item] today.	Thank you kindly. Hope your hands don't hurt too bad.	You left a lot of rocks behind. Maybe because you don't use [item] to dig up rocks?	Looks like your hands got real beat up. Sometimes you just can't do it by hand.
"Water, it's what plants crave"	Can anyone come by to water my crops for me? I won't be able to for a short while.	"Watering Can, Bucket"		Everything looks so lush! Thank you.	Thank you! You…used [item] to water the crops? Interesting.	"Thank you! You say you cupped your hands to move the water to the plants? Oh. Well, it worked."	Ah. The fields look a bit dry. Maybe if you had a watering can instead of [item]?	Ah. The fields look a bit dry. Maybe if you had a watering can instead of cupping your hands?
Too Few Cooks	"I planned a huge party and promised to cook for everyone, but I'm just one person! Would…one other person…be willing to help me?"	"Pot, Pan, Steak, Chicken"		Thank you so much! Sorry you had to bring your own supplies.	"Thank you! I have no clue how you did that with [item], but thank you!"	Thank you!  	Oh. This food isn't very good. Maybe you shouldn't cook with [item].	Oh. This food isn't very good. I think we need some more kitchen tools.
Sawyer Who?	"Listen, I love painting, but I want to spread the fun. Anyone want to paint my fence?"	"Bucket, Paintbrush"		"That was fun, right? And thanks for the [item]!"	"Fun, right? Weird that you used [item] to paint though."	"Fun, right?"	Guess I need to do this myself. You can't paint with [item].	Guess I need to do this myself. You can't paint without a brush.
Lost Dog :(	My dog ran away! He's energetic and doesn't respond to anything. Please get him back for me please?	"Steak, Chicken"		Good thinking luring him with that steak!	"Wow, I can't believe he ran up to you like that! And you used your…[item]?"	"Wow, I can't believe he ran up to you like that!"	Oh…he ran away from you. Maybe he was afraid of the [item]?	Oh…he ran away from you. I guess I should have expected that.
You're Too Slow	I think I'm the fastest runner around. Is anyone here quick enough to help with my training?	Shoes		Wow! You're fast. Kinda ruined your shoes. Sorry.	Wow. You're fast! What's with the [item]?	Wow! You're fast.	"Not fast enough for me, sorry. What's with the [item]?"	"Not fast enough for me, sorry. What's with the [item]?"
